payment_key_hash_hex,addresses,agent_balance_base,agent_flux_units,shards_balance_base,shards_flux_units,flux_pass_balance_base,flux_pass_flux_units,se_brawlers_balance_base,se_brawlers_flux_units,brawl_pass_etd_balance_base,brawl_pass_etd_flux_units,t1_adam_pass_balance_base,t1_adam_pass_flux_units,t2_adam_pass_balance_base,t2_adam_pass_flux_units,flux_total_units,flux_total_display
001ddf1c3327fa08d84ebab4731bdb34f4ee4005e368809716f2fcc5,addr1qyqpmhcuxvnl5zxcf6atgucmmv60fmjqqh3k3qyhzme0e3frncp9jzkhu3ljkgymfwqanxn5q54m0w7qrlud5jqugj8qypumvn,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
00507ca34b004ad6205299df0382476c50d3b7aa3b885db498f647a0,addr1qyq9ql9rfvqy443q22va7quzgak9p5ah4gacshd5nrmy0gpzyqua74kxxghpa5amz5ch6udckjxvum6newdqy4rzl95qfa7g5u,1,462890,0,0,0,0,0,0,0,0,0,0,0,0,462890,0.46289
007ef46fb923a69af272b7cbca759b3f724b1896868fdd7abb1dbbd2,addr1qyq8aar0hy36dxhjw2muhjn4nvlhyjccj6rglht6hvwmh5nu26pj3rkt7s6alpfxgjm4rf3n7p46vmf27k2aqp7plcssksg0h7,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
00844c75d9bb16e846aae5d7f7691c48f087ae0bc1328b7f1fe033b4,addr1qyqggnr4mxa3d6zx4tja0amfr3y0ppawp0qn9zmlrlsr8d9hlfaq0tymevzkp6jwryzfy2gj8mddefvmy9dc7fj7hg8qnywq68,0,0,16000000,465961410,0,0,0,0,0,0,0,0,0,0,465961410,465.96141
00b4a5366cd5c4e349203f3962faa386fb2bccc6da5c01d5661fb5fe,addr1qyqtfffkdn2ufc6fyqlnjch65wr0k27vcmd9cqw4vc0mtlju44qs7snenqzl0qufxkl4xetjf3g8jsc5rfmapk07n6mq65dkc5,0,0,15000000,436838821,0,0,0,0,0,0,0,0,0,0,436838821,436.838821
00bd88abc48e043508a147217639b38410f37a0673bf42d53ee06ed4,addr1qyqtmz9tcj8qgdgg59rjza3ekwzppum6qeem7sk48msxa4ydj22xjtfnmwzu5rvq566kqh0n4lkfj7hpxs9hnfqlzukss4l2qz,0,0,3000000,87367764,0,0,0,0,0,0,0,0,0,0,87367764,87.367764
00ca4d2690a75aa792f29bf3aa730d79aa4133bfae2cf152a74d3e86,addr1qyqv5nfxjzn44fuj72dl82nnp4u65sfnh7hzeu2j5axnapnnmvrjp40328kxgtsmkr54xmkvwsnd2kndat45fh890lhq7z3h98,0,0,5000000,145612940,0,0,0,0,0,0,0,0,0,0,145612940,145.61294
00da232426a5677c76490df45fb1436c4d58bbf8779b5b2a71dd03f3,addr1qyqd5geyy6jkwlrkfyxlgha3gdky6k9mlpmekke2w8ws8u7qjzdddgjvslum0has2pqs56y97zqafn3ykpz77y46ha6qrjnz4k,66685,30867837945,0,0,0,0,0,0,0,0,0,0,0,0,30867837945,30867.837945
00e5eb5377cb2079c8f54025e05812b69a383dea720f0ba70dbd44e7,addr1qyqwt66nwl9jq7wg74qztczcz2mf5wpaafeq7za8pk75feld0zq8uwqjj5t4yt04hlhwfxvsrj0qyqqlkzelf06mdaks30pg5x,16719,7739062496,0,0,0,0,0,0,0,0,0,0,0,0,7739062496,7739.062496
00e8451bf607b8407ea4b083b4aedb69a4381919834531bb58ce2a32,addr1qyqws3gm7crmssr75jcg8d9wmd56gwqerxp52vdmtr8z5vjgcavckcx6suuq63j8z55zqz0pqucd5kzzm96humjgfpwqg2j9wp,0,0,18000000,524206586,0,0,0,0,0,0,0,0,0,0,524206586,524.206586
